artwork_id,exhibition_id
575,2674
1196,2299
1327,2062
1327,2689
1327,2819
1327,3300
1327,3423
1377,948
1377,2247
1377,116
1377,2248
1377,13
1377,3608
1377,3684
3942,2301
3942,2674
3942,2747
3942,3300
4432,2062
4432,69
4432,956
4432,2548
4432,170
4432,2689
4432,563
4432,2935
4432,2986
4432,3300
4432,3423
5141,275
5578,2054
5578,2513
5578,2704
6301,3300
6802,397
8783,605
8783,948
8783,3191
9356,137
9356,116
9356,2069
9356,2403
9356,2414
9356,2454
9356,2455
9356,2749
9356,3271
9513,1994
9513,2994
9513,3390
9638,2062
82299,2761
9874,1994
9874,116
10015,2062
10015,2543
10015,2689
10015,3300
10015,3423
10480,2237
13056,116
13056,2660
13056,3048
13056,3684
13532,1994
13532,2674
14310,2062
82510,3423
14764,3272
14933,2062
14933,2543
14933,2689
14933,3300
14933,3423
15224,2507
15225,2062
15225,2543
15225,2689
15225,2986
15225,3300
15225,3423
16554,2069
16554,2749
16554,3271
16631,908
16631,3300
16642,2089
16642,2507
16642,2744
17872,2069
17872,432
17872,3061
18131,2381
39344,2513
39344,3225
25620,3225
19054,3048
19054,3608
19302,2062
19302,2689
19302,3300
19302,3423
19459,2513
19459,2689
19489,2949
20026,3400
90565,3231
20681,2178
21055,2062
21055,2543
21055,2689
21055,2819
21055,3300
21055,3423
82285,2761
22590,484
26440,948
26514,74
26514,2122
26514,2674
26514,170
26514,13
26514,3673
26514,3735
28720,2062
28720,2689
28720,2819
28720,3300
28720,3423
29078,116
29078,3048
29078,3684
29546,2062
29546,2543
29546,2689
29546,3300
29546,3423
82319,2761
30809,615
30809,2069
31663,384
31663,1966
31663,2062
31663,2543
31663,2689
31663,3192
31663,3300
31663,3423
32058,2062
32058,2689
32662,2178
32731,2062
34751,2062
36187,2706
36320,2069
36320,432
36320,3191
36939,484
37377,1955
37377,2113
37377,2159
37377,615
37377,442
37377,6
37377,366
37377,2749
37377,28
37377,3004
37377,3300
40436,2062
40436,2543
40436,170
40436,2689
40436,3300
40436,3423
76634,2062
81301,2714
81301,2289
81280,3171
77701,2713
77700,2713
38891,579
34403,579
29593,2714
29593,2289
26422,579
22150,2714
22150,2713
22150,29
22150,3770
21272,579
21272,3171
21138,579
21138,3300
19912,2289
19912,2387
19912,86
19912,47
19912,87
19912,97
19912,470
19912,83
17718,579
17553,470
17553,2289
17553,3231
14295,579
10228,579
9603,3231
20829,187
21111,1994
21111,2502
21111,2503
21111,2504
21111,2674
7782,2664
6633,2714
6633,2289
6633,683
6633,3770
6402,2289
6214,579
5333,579
12271,2180
22688,3500
3809,579
32078,2054
32078,2513
32078,2704
1971,2289
1971,29
1971,579
1929,2289
32540,2059
33428,2674
33428,432
82308,2761
82311,2761
82311,3423
82472,3423
82278,2819
82278,3423
82326,3423
82441,3423
82488,3423
82504,3423
82274,2761
82274,2819
82274,3423
12013,74
12013,3225
84344,3504
14701,3225
98114,3423
98165,3423
15523,2575
15523,2599
15523,2674
15523,2289
15523,2825
15523,2719
15523,3083
